country,sex,year,industry
aut,m,1984,48.70000076293945
aut,f,1984,22.200000762939453
aut,mf,1985,38.099998474121094
aut,m,1985,48.79999923706055
aut,f,1985,21.700000762939453
aut,mf,1986,37.79999923706055
aut,m,1986,48.70000076293945
aut,f,1986,21.299999237060547
aut,mf,1987,37.70000076293945
aut,m,1987,48.70000076293945
aut,f,1987,21.200000762939453
aut,mf,1988,37.29999923706055
aut,m,1988,48.5
aut,f,1988,20.700000762939453
aut,mf,1989,37.0
aut,m,1989,48.5
aut,f,1989,20.100000381469727
aut,mf,1990,36.79999923706055
aut,m,1990,48.599998474121094
aut,f,1990,19.799999237060547
aut,mf,1991,36.900001525878906
aut,m,1991,48.29999923706055
aut,f,1991,20.399999618530273
aut,mf,1992,35.599998474121094
aut,m,1992,47.0
aut,f,1992,19.5
aut,mf,1993,35.099998474121094
aut,m,1993,47.099998474121094
aut,f,1993,18.399999618530273
aut,mf,1994,32.5
aut,m,1994,43.79999923706055
aut,f,1994,17.200000762939453
aut,mf,1995,32.099998474121094
aut,m,1995,43.20000076293945
aut,f,1995,17.5
aut,mf,1996,30.299999237060547
aut,m,1996,41.599998474121094
aut,f,1996,15.600000381469727
aut,mf,1997,29.600000381469727
aut,m,1997,41.20000076293945
aut,f,1997,14.600000381469727
aut,mf,1998,29.600000381469727
aut,m,1998,41.5
aut,f,1998,14.300000190734863
aut,mf,1999,30.0
aut,m,1999,42.29999923706055
aut,f,1999,14.199999809265137
aut,mf,2000,30.200000762939453
aut,m,2000,42.79999923706055
aut,f,2000,14.300000190734863
aut,mf,2001,29.600000381469727
aut,m,2001,41.900001525878906
aut,f,2001,14.0
aut,mf,2002,29.0
aut,m,2002,42.099998474121094
aut,f,2002,13.100000381469727
aut,mf,2003,29.100000381469727
aut,m,2003,42.099998474121094
aut,f,2003,13.199999809265137
aut,mf,2004,26.799999237060547
aut,m,2004,38.0
aut,f,2004,13.300000190734863
aut,mf,2005,27.799999237060547
aut,m,2005,40.099998474121094
aut,f,2005,13.0
aut,mf,2006,28.299999237060547
aut,m,2006,40.79999923706055
aut,f,2006,13.5
aut,mf,2007,27.600000381469727
aut,m,2007,39.79999923706055
aut,f,2007,13.100000381469727
