country,sex,year,total_employment_000
aut,m,2001,2042.0
aut,f,2001,1619.9000244140625
aut,mf,2002,3636.10009765625
aut,m,2002,1991.0999755859375
aut,f,2002,1645.0
aut,mf,2003,3715.60009765625
aut,m,2003,2044.0
aut,f,2003,1671.5999755859375
aut,mf,2004,3579.699951171875
aut,m,2004,1948.5999755859375
aut,f,2004,1631.0999755859375
aut,mf,2005,3711.300048828125
aut,m,2005,2022.0999755859375
aut,f,2005,1689.199951171875
aut,mf,2006,3782.5
aut,m,2006,2057.60009765625
aut,f,2006,1724.9000244140625
aut,mf,2007,3863.60009765625
aut,m,2007,2100.39990234375
aut,f,2007,1763.300048828125
aut,mf,2008,3928.699951171875
aut,m,2008,2121.89990234375
aut,f,2008,1806.699951171875
aut,mf,2009,3909.300048828125
aut,m,2009,2087.199951171875
aut,f,2009,1822.0999755859375
aut,mf,2010,3943.89990234375
aut,m,2010,2103.5
aut,f,2010,1840.4000244140625
aut,mf,2011,3982.300048828125
aut,m,2011,2120.0
aut,f,2011,1862.300048828125
aut,mf,2012,4013.39990234375
aut,m,2012,2128.800048828125
aut,f,2012,1884.5999755859375
aut,mf,2013,4030.0
aut,m,2013,2133.5
aut,f,2013,1896.5999755859375
aut,mf,2014,4034.199951171875
aut,m,2014,2126.199951171875
aut,f,2014,1908.0999755859375
aze,mf,1983,2503.10009765625
aze,mf,1984,2559.39990234375
aze,mf,1985,2619.199951171875
aze,mf,1986,2671.10009765625
aze,mf,1987,2749.5
aze,mf,1988,2761.300048828125
aze,mf,1989,2880.0
aze,mf,1990,3703.39990234375
aze,mf,1991,3732.0
aze,mf,1992,3722.0
aze,mf,1993,3714.60009765625
aze,mf,1994,3631.300048828125
aze,mf,1995,3613.0
aze,mf,1996,3686.699951171875
aze,mf,1997,3694.10009765625
aze,mf,1998,3701.5
aze,mf,1999,3702.800048828125
aze,m,1999,1936.5999755859375
aze,f,1999,1766.199951171875
aze,mf,2000,3704.5
aze,m,2000,1937.5
aze,f,2000,1767.0
aze,mf,2001,3715.0
aze,m,2001,1945.0
aze,f,2001,1770.0
aze,mf,2002,3726.5
aze,m,2002,1948.0
aze,f,2002,1778.5
aze,mf,2003,3747.0
aze,m,2003,1959.699951171875
aze,f,2003,1787.300048828125
aze,mf,2004,3809.10009765625
aze,m,2004,1995.800048828125
aze,f,2004,1813.300048828125
aze,mf,2005,3850.199951171875
aze,m,2005,2017.4000244140625
aze,f,2005,1832.800048828125
aze,mf,2006,3973.0
aze,m,2006,2054.10009765625
aze,f,2006,1918.9000244140625
aze,mf,2007,4014.10009765625
aze,m,2007,2028.5
aze,f,2007,1985.5999755859375
aze,mf,2008,4056.0
aze,m,2008,2048.300048828125
aze,f,2008,2007.699951171875
aze,mf,2009,4271.7001953125
aze,m,2009,2199.800048828125
aze,f,2009,2071.89990234375
aze,mf,2010,4329.10009765625
aze,m,2010,2227.39990234375
aze,f,2010,2101.699951171875
aze,mf,2011,4375.27587890625
aze,m,2011,2250.154052734375
aze,f,2011,2125.1220703125
aze,mf,2012,4445.30615234375
aze,m,2012,2291.8310546875
aze,f,2012,2153.47509765625
aze,mf,2013,4521.2001953125
aze,m,2013,2337.5
aze,f,2013,2183.699951171875
aze,mf,2014,4602.89990234375
bhs,mf,1986,97.4000015258789
bhs,m,1986,53.20000076293945
bhs,f,1986,44.20000076293945
bhs,mf,1989,112.48999786376953
bhs,m,1989,59.75
bhs,f,1989,52.7400016784668
bhs,mf,1991,114.2750015258789
bhs,m,1991,60.13999938964844
bhs,f,1991,54.1349983215332
bhs,mf,1992,114.69999694824219
bhs,m,1992,60.9900016784668
bhs,f,1992,53.709999084472656
bhs,mf,1993,118.94999694824219
bhs,m,1993,62.68000030517578
bhs,f,1993,56.27000045776367
bhs,mf,1994,120.30000305175781
bhs,m,1994,63.709999084472656
bhs,f,1994,56.59000015258789
bhs,mf,1995,127.44000244140625
bhs,m,1995,66.51499938964844
bhs,f,1995,60.92499923706055
bhs,mf,1996,129.76499938964844
bhs,m,1996,70.37999725341797
bhs,f,1996,59.3849983215332
bhs,mf,1997,135.2550048828125
bhs,m,1997,71.31500244140625
bhs,f,1997,63.939998626708984
bhs,mf,1998,144.35499572753906
bhs,m,1998,74.55000305175781
bhs,f,1998,69.80500030517578
bhs,mf,1999,145.35000610351562
bhs,m,1999,77.24500274658203
bhs,f,1999,68.1050033569336
bhs,mf,2001,153.30999755859375
bhs,m,2001,79.08000183105469
bhs,f,2001,74.2300033569336
bhs,mf,2002,152.69000244140625
bhs,m,2002,78.41000366210938
bhs,f,2002,74.27999877929688
bhs,mf,2003,154.96499633789062
bhs,m,2003,79.13999938964844
bhs,f,2003,75.82499694824219
bhs,mf,2004,158.33999633789062
bhs,m,2004,81.73999786376953
bhs,f,2004,76.55999755859375
bhs,mf,2005,160.52999877929688
bhs,m,2005,82.79000091552734
bhs,f,2005,77.73999786376953
bhs,mf,2006,165.5050048828125
bhs,m,2006,85.96499633789062
bhs,f,2006,80.54000091552734
bhs,mf,2007,171.49000549316406
bhs,m,2007,89.6050033569336
bhs,f,2007,81.88500213623047
bhs,mf,2008,174.9199981689453
bhs,m,2008,90.83999633789062
bhs,f,2008,84.08999633789062
bhs,mf,2009,157.80499267578125
bhs,m,2009,80.3550033569336
bhs,f,2009,77.47000122070312
bhs,mf,2011,164.1199951171875
bhs,m,2011,82.2699966430664
bhs,f,2011,81.8499984741211
bhr,mf,1981,139.0
bhr,m,1981,124.19999694824219
bhr,f,1981,14.800000190734863
bhr,mf,1982,141.10000610351562
bhr,m,1982,125.80000305175781
bhr,f,1982,15.300000190734863
bhr,mf,1991,211.0
bhr,m,1991,176.0
bhr,f,1991,35.0
bhr,mf,2001,291.37799072265625
bhr,m,2001,231.5240020751953
bhr,f,2001,59.854000091552734
bhr,mf,2004,306016.0
bhr,m,2004,241278.0
bhr,f,2004,64738.0
bhr,mf,2010,703.2069702148438
bhr,m,2010,557.9439697265625
bhr,f,2010,145.26300048828125
bgd,mf,1984,27976.0
bgd,m,1984,25547.0
bgd,f,1984,2429.0
bgd,mf,1985,28977.0
bgd,m,1985,26430.0
bgd,f,1985,2547.0
bgd,mf,1986,30563.0
bgd,m,1986,27447.0
bgd,f,1986,3116.0
bgd,mf,1989,50148.0
bgd,m,1989,29386.0
bgd,f,1989,20761.0
bgd,mf,1991,50159.0
bgd,m,1991,30443.0
bgd,f,1991,19716.0
bgd,mf,1996,54597.0
bgd,m,1996,33765.0
bgd,f,1996,20832.0
bgd,mf,2000,51764.0
bgd,m,2000,32369.0
bgd,f,2000,19395.0
bgd,mf,2002,44322.0
bgd,m,2002,34478.0
bgd,f,2002,9844.0
bgd,mf,2003,44322.0
bgd,m,2003,34478.0
bgd,f,2003,9844.0
bgd,mf,2005,47357.0
bgd,m,2005,36080.0
bgd,f,2005,11277.0
bgd,mf,2010,54084.0
bgd,m,2010,37883.0
bgd,f,2010,16202.0
brb,mf,1981,100.19999694824219
brb,m,1981,57.400001525878906
brb,f,1981,42.79999923706055
brb,mf,1982,97.30000305175781
brb,m,1982,55.099998474121094
brb,f,1982,42.20000076293945
brb,mf,1983,95.69999694824219
brb,m,1983,54.29999923706055
brb,f,1983,41.400001525878906
brb,mf,1984,93.0999984741211
brb,m,1984,53.20000076293945
brb,f,1984,39.900001525878906
brb,mf,1985,92.0999984741211
brb,m,1985,52.0
brb,f,1985,40.099998474121094
brb,mf,1986,96.19999694824219
brb,m,1986,53.599998474121094
brb,f,1986,42.599998474121094
brb,mf,1987,97.9000015258789
brb,m,1987,54.599998474121094
brb,f,1987,43.29999923706055
brb,mf,1988,100.30000305175781
brb,m,1988,54.900001525878906
brb,f,1988,45.400001525878906
brb,mf,1989,107.4000015258789
brb,m,1989,58.70000076293945
brb,f,1989,48.70000076293945
brb,mf,1990,105.19999694824219
brb,m,1990,57.70000076293945
brb,f,1990,47.5
brb,mf,1991,101.4000015258789
brb,m,1991,56.20000076293945
brb,f,1991,45.20000076293945
brb,mf,1992,96.0999984741211
brb,m,1992,51.29999923706055
brb,f,1992,44.79999923706055
brb,mf,1993,95.4000015258789
brb,m,1993,51.20000076293945
brb,f,1993,44.20000076293945
brb,mf,1994,105.5
brb,m,1994,56.70000076293945
brb,f,1994,48.79999923706055
brb,mf,1995,109.9000015258789
brb,m,1995,57.70000076293945
brb,f,1995,52.099998474121094
brb,mf,1996,115.80000305175781
brb,m,1996,62.20000076293945
brb,f,1996,53.599998474121094
brb,mf,1997,117.69999694824219
brb,m,1997,62.79999923706055
brb,f,1997,54.900001525878906
brb,mf,1998,121.69999694824219
brb,m,1998,65.69999694824219
brb,f,1998,56.0
brb,mf,1999,125.19999694824219
brb,m,1999,67.19999694824219
brb,f,1999,58.0
brb,mf,2000,129.0
brb,m,2000,68.0
brb,f,2000,61.0
brb,mf,2001,130.89999389648438
brb,m,2001,68.9000015258789
brb,f,2001,61.900001525878906
brb,mf,2002,128.60000610351562
brb,m,2002,67.69999694824219
brb,f,2002,60.900001525878906
brb,mf,2003,129.5
brb,m,2003,67.4000015258789
brb,f,2003,62.0
brb,mf,2004,132.0
brb,m,2004,68.30000305175781
brb,f,2004,63.79999923706055
brb,mf,2010,126.82499694824219
brb,m,2010,64.5
brb,f,2010,62.29999923706055
brb,mf,2011,128.39999389648438
brb,m,2011,66.30000305175781
brb,f,2011,62.0
brb,mf,2012,125.19999694824219
brb,m,2012,64.80000305175781
brb,f,2012,60.5
brb,mf,2013,126.19999694824219
brb,m,2013,64.4000015258789
brb,f,2013,61.900001525878906
blr,mf,1987,5144.0
blr,mf,1988,5173.5
blr,mf,1989,5200.10009765625
blr,mf,1990,5150.7998046875
blr,mf,1991,5022.5
blr,mf,1992,4891.39990234375
blr,mf,1993,4827.7001953125
blr,mf,1994,4700.89990234375
blr,mf,2009,4613.35107421875
blr,m,2009,2322.508056640625
blr,f,2009,2290.843017578125
blr,mf,2010,4665.89990234375
blr,mf,2011,4654.5
blr,mf,2012,4577.10009765625
blr,mf,2013,4545.60009765625
bel,mf,1980,3700.199951171875
bel,m,1980,2409.699951171875
bel,f,1980,1290.5
bel,mf,1981,3631.199951171875
bel,m,1981,2343.60009765625
bel,f,1981,1287.5999755859375
bel,mf,1982,3583.0
bel,m,1982,2295.89990234375
bel,f,1982,1287.0999755859375
bel,mf,1983,3546.10009765625
bel,m,1983,2256.10009765625
bel,f,1983,1290.0
bel,mf,1984,3540.5
bel,m,1984,2236.89990234375
bel,f,1984,1303.5999755859375
bel,mf,1985,3560.800048828125
bel,m,1985,2234.300048828125
bel,f,1985,1326.5
bel,mf,1986,3583.800048828125
bel,m,1986,2230.300048828125
bel,f,1986,1353.300048828125
bel,mf,1987,3600.10009765625
bel,m,1987,2217.89990234375
bel,f,1987,1382.199951171875
bel,mf,1988,3495.39990234375
bel,m,1988,2212.89990234375
bel,f,1988,1283.0
bel,mf,1989,3594.89990234375
bel,m,1989,2270.699951171875
bel,f,1989,1324.199951171875
bel,mf,1990,3636.699951171875
bel,m,1990,2272.10009765625
bel,f,1990,1364.5999755859375
bel,mf,1991,3730.5
bel,m,1991,2295.39990234375
bel,f,1991,1435.0999755859375
bel,mf,1992,3770.27587890625
bel,m,1992,2286.180908203125
bel,f,1992,1484.094970703125
bel,mf,1993,3743.657958984375
bel,m,1993,2248.087890625
bel,f,1993,1495.5699462890625
bel,mf,1994,3748.09912109375
bel,m,1994,2252.592041015625
bel,f,1994,1495.5069580078125
bel,mf,1995,3792.580078125
bel,m,1995,2273.927001953125
bel,f,1995,1518.6529541015625
bel,mf,1996,3790.508056640625
bel,m,1996,2268.429931640625
bel,f,1996,1522.0780029296875
bel,mf,1997,3837.805908203125
bel,m,1997,2276.5
bel,f,1997,1561.3050537109375
bel,mf,1998,3856.85400390625
bel,m,1998,2270.072998046875
bel,f,1998,1586.780029296875
bel,mf,1999,3955.199951171875
bel,m,1999,2282.5
bel,f,1999,1672.699951171875
bel,mf,2000,4093.0
bel,m,2000,2362.39990234375
bel,f,2000,1730.5999755859375
bel,mf,2001,4015.800048828125
bel,m,2001,2322.199951171875
bel,f,2001,1693.699951171875
bel,mf,2002,4031.39990234375
bel,m,2002,2316.800048828125
bel,f,2002,1714.5
bel,mf,2003,4026.60009765625
bel,m,2003,2295.300048828125
bel,f,2003,1731.4000244140625
bel,mf,2004,4121.5
bel,m,2004,2328.699951171875
bel,f,2004,1792.800048828125
bel,mf,2005,4199.2001953125
bel,m,2005,2361.300048828125
bel,f,2005,1838.0
bel,mf,2006,4232.89990234375
bel,m,2006,2371.10009765625
bel,f,2006,1861.800048828125
bel,mf,2007,4348.10009765625
bel,m,2007,2421.0
bel,f,2007,1927.0
bel,mf,2008,4413.7001953125
bel,m,2008,2438.699951171875
bel,f,2008,1974.9000244140625
bel,mf,2009,4389.39990234375
bel,m,2009,2405.60009765625
bel,f,2009,1983.800048828125
bel,mf,2010,4450.60009765625
bel,m,2010,2432.60009765625
bel,f,2010,2018.0
bel,mf,2011,4470.5
bel,m,2011,2434.5
bel,f,2011,2035.9000244140625
bel,mf,2012,4479.0
bel,m,2012,2433.39990234375
bel,f,2012,2045.699951171875
bel,mf,2013,4484.5
bel,m,2013,2419.699951171875
bel,f,2013,2064.800048828125
bel,mf,2014,4497.2998046875
bel,m,2014,2402.5
bel,f,2014,2094.89990234375
blz,mf,1993,62.084999084472656
blz,m,1993,42.685001373291016
blz,f,1993,19.399999618530273
blz,mf,1994,62.43000030517578
blz,m,1994,43.560001373291016
blz,f,1994,18.8700008392334
blz,mf,1995,62.56999969482422
blz,m,1995,43.7400016784668
blz,f,1995,18.829999923706055
blz,mf,1996,65.0250015258789
blz,m,1996,46.1150016784668
blz,f,1996,18.90999984741211
blz,mf,1997,70.68000030517578
blz,m,1997,49.26499938964844
blz,f,1997,21.415000915527344
blz,mf,1998,73.34500122070312
blz,m,1998,50.09000015258789
blz,f,1998,23.2549991607666
blz,mf,1999,77.75499725341797
blz,m,1999,53.68000030517578
blz,f,1999,24.075000762939453
blz,mf,2004,95.91000366210938
blz,mf,2005,98.58899688720703
blz,m,2005,64.87799835205078
blz,f,2005,33.71099853515625
ben,mf,2003,2687.52099609375
ben,m,2003,1315.073974609375
ben,f,2003,1372.447021484375
ben,mf,2010,2201.98388671875
ben,m,2010,1040.7330322265625
ben,f,2010,1161.2509765625
bmu,mf,2000,36.87799835205078
bmu,m,2000,19.003999710083008
bmu,f,2000,17.874000549316406
bmu,mf,2001,37.59700012207031
bmu,m,2001,19.301000595092773
bmu,f,2001,18.29599952697754
bmu,mf,2002,37.814998626708984
bmu,m,2002,19.410999298095703
bmu,f,2002,18.40399932861328
bmu,mf,2003,37.68600082397461
bmu,m,2003,19.520000457763672
bmu,f,2003,18.166000366210938
bmu,mf,2004,38.362998962402344
bmu,m,2004,19.937000274658203
bmu,f,2004,18.426000595092773
bmu,mf,2009,35.21099853515625
bmu,m,2009,17.4060001373291
bmu,f,2009,17.80500030517578
bmu,mf,2010,36.731998443603516
bmu,m,2010,18.448999404907227
bmu,f,2010,18.283000946044922
bmu,mf,2011,37.39899826049805
bmu,m,2011,18.972000122070312
bmu,f,2011,18.427000045776367
bmu,mf,2012,35.44300079345703
bmu,m,2012,17.85099983215332
bmu,f,2012,17.591999053955078
bmu,mf,2013,35.98899841308594
btn,mf,2003,248.59800720214844
btn,m,2003,125.63300323486328
btn,f,2003,122.96499633789062
btn,mf,2005,249.02999877929688
btn,m,2005,158.072998046875
btn,f,2005,90.65699768066406
btn,mf,2006,221.6999969482422
btn,m,2006,125.69999694824219
btn,f,2006,96.0
btn,mf,2009,312.79998779296875
btn,m,2009,162.39999389648438
