country,sex,year,not_adequately_defined_000
aus,m,2008,375.8999938964844
aus,f,2008,347.0
aus,mf,2009,756.0
aus,m,2009,400.29998779296875
aus,f,2009,355.70001220703125
aus,mf,2010,767.2999877929688
aus,m,2010,402.3999938964844
aus,f,2010,364.79998779296875
aus,mf,2011,237.60000610351562
aus,m,2011,152.1999969482422
aus,f,2011,85.30000305175781
aus,mf,2012,271.3999938964844
aus,m,2012,174.10000610351562
aus,f,2012,97.30000305175781
aus,mf,2013,810.0
aus,m,2013,431.6000061035156
aus,f,2013,378.3999938964844
aut,mf,1983,2.0
aut,m,1983,1.2000000476837158
aut,f,1983,0.699999988079071
aut,mf,1984,9.399999618530273
aut,m,1984,5.199999809265137
aut,f,1984,4.199999809265137
aut,mf,1985,10.0
aut,m,1985,6.099999904632568
aut,f,1985,3.799999952316284
aut,mf,1986,12.199999809265137
aut,m,1986,6.900000095367432
aut,f,1986,5.199999809265137
aut,mf,1987,11.100000381469727
aut,m,1987,5.5
aut,f,1987,5.599999904632568
aut,mf,1988,15.899999618530273
aut,m,1988,7.300000190734863
aut,f,1988,8.600000381469727
aut,mf,1989,13.800000190734863
aut,m,1989,6.300000190734863
aut,f,1989,7.5
aut,mf,1990,15.0
aut,m,1990,7.0
aut,f,1990,8.0
aut,mf,1991,18.899999618530273
aut,m,1991,8.199999809265137
aut,f,1991,10.699999809265137
aut,mf,1992,21.0
aut,m,1992,8.100000381469727
aut,f,1992,13.0
aut,mf,1993,19.700000762939453
aut,m,1993,8.399999618530273
aut,f,1993,11.399999618530273
aut,mf,2004,5.699999809265137
aze,mf,1983,100.5
aze,mf,1984,102.19999694824219
aze,mf,1985,101.30000305175781
aze,mf,1986,105.19999694824219
aze,mf,1987,110.9000015258789
aze,mf,1988,109.69999694824219
aze,mf,1989,113.30000305175781
aze,mf,1990,560.7999877929688
aze,mf,1991,513.0
aze,mf,1992,519.2000122070312
aze,mf,1993,536.9000244140625
aze,mf,1994,521.0
