country,sex,year,industry_000
brb,mf,1993,18.200000762939453
brb,m,1993,12.600000381469727
brb,f,1993,5.599999904632568
brb,mf,1994,19.899999618530273
brb,m,1994,14.300000190734863
brb,f,1994,5.699999809265137
brb,mf,1995,21.5
brb,m,1995,14.699999809265137
brb,f,1995,6.699999809265137
brb,mf,1996,21.5
brb,m,1996,15.5
brb,f,1996,6.099999904632568
brb,mf,1997,22.600000381469727
brb,m,1997,16.700000762939453
brb,f,1997,5.900000095367432
brb,mf,1998,25.399999618530273
brb,m,1998,18.899999618530273
brb,f,1998,6.599999904632568
brb,mf,1999,26.799999237060547
brb,m,1999,20.399999618530273
brb,f,1999,6.400000095367432
brb,mf,2000,26.299999237060547
brb,m,2000,19.899999618530273
brb,f,2000,6.5
brb,mf,2001,25.700000762939453
brb,m,2001,19.5
brb,f,2001,6.099999904632568
brb,mf,2002,24.100000381469727
brb,m,2002,18.0
brb,f,2002,6.099999904632568
brb,mf,2003,22.799999237060547
brb,m,2003,17.200000762939453
brb,f,2003,5.599999904632568
brb,mf,2004,22.799999237060547
brb,m,2004,17.899999618530273
brb,f,2004,5.0
brb,mf,2010,24.825000762939453
brb,m,2010,19.25
brb,f,2010,5.550000190734863
brb,mf,2011,26.200000762939453
brb,m,2011,20.100000381469727
brb,f,2011,6.0
brb,mf,2012,24.299999237060547
brb,m,2012,18.299999237060547
brb,f,2012,6.0
brb,mf,2013,23.899999618530273
brb,m,2013,17.600000381469727
brb,f,2013,6.300000190734863
blr,mf,1987,1895.800048828125
blr,mf,1988,1948.9000244140625
blr,mf,1989,2003.199951171875
blr,mf,1990,1983.300048828125
blr,mf,1991,1874.199951171875
blr,mf,1992,1807.0999755859375
blr,mf,1993,1748.5999755859375
blr,mf,1994,1640.4000244140625
blr,mf,2009,1554.196044921875
blr,m,2009,1005.3510131835938
blr,f,2009,548.844970703125
blr,mf,2010,1592.4000244140625
blr,mf,2011,1589.0
blr,mf,2012,1523.4000244140625
blr,mf,2013,1507.5
bel,mf,1980,1269.5999755859375
bel,m,1980,1035.199951171875
bel,f,1980,234.3000030517578
bel,mf,1981,1192.699951171875
bel,m,1981,973.5
bel,f,1981,219.1999969482422
bel,mf,1982,1138.5999755859375
bel,m,1982,928.0
bel,f,1982,210.5
bel,mf,1983,1100.0
