country,sex,year,not_adequately_defined
aut,m,1986,0.30000001192092896
aut,f,1986,0.4000000059604645
aut,mf,1987,0.30000001192092896
aut,m,1987,0.30000001192092896
aut,f,1987,0.4000000059604645
aut,mf,1988,0.5
aut,m,1988,0.4000000059604645
aut,f,1988,0.6000000238418579
aut,mf,1989,0.4000000059604645
aut,m,1989,0.30000001192092896
aut,f,1989,0.6000000238418579
aut,mf,1990,0.4000000059604645
aut,m,1990,0.30000001192092896
aut,f,1990,0.6000000238418579
aut,mf,1991,0.5
aut,m,1991,0.4000000059604645
aut,f,1991,0.800000011920929
aut,mf,1992,0.6000000238418579
aut,m,1992,0.4000000059604645
aut,f,1992,0.8999999761581421
aut,mf,1993,0.6000000238418579
aut,m,1993,0.4000000059604645
aut,f,1993,0.800000011920929
aut,mf,1994,
aut,m,1994,
aut,f,1994,
aut,mf,1995,
aut,m,1995,
aut,f,1995,
aut,mf,1996,
aut,m,1996,
aut,f,1996,
aut,mf,1997,
aut,m,1997,
aut,f,1997,
aut,mf,1998,
aut,m,1998,
aut,f,1998,
aut,mf,1999,
aut,m,1999,
aut,f,1999,
aut,mf,2000,
aut,m,2000,
aut,f,2000,
aut,mf,2001,
aut,m,2001,
aut,f,2001,
aut,mf,2002,
aut,m,2002,
aut,f,2002,
aut,mf,2003,
aut,m,2003,
aut,f,2003,
aut,mf,2004,0.20000000298023224
aut,m,2004,
aut,f,2004,
aut,mf,2005,
aut,m,2005,
aut,f,2005,
aut,mf,2006,
aut,m,2006,
aut,f,2006,
aut,mf,2007,
aut,m,2007,
aut,f,2007,
aut,mf,2008,
aut,m,2008,
aut,f,2008,
aut,mf,2009,
aut,m,2009,
aut,f,2009,
aut,mf,2010,
aut,m,2010,
aut,f,2010,
aut,mf,2011,
aut,m,2011,
aut,f,2011,
aut,mf,2012,
aut,m,2012,
aut,f,2012,
aut,mf,2013,
aut,m,2013,
aut,f,2013,
aut,mf,2014,
aut,m,2014,
aut,f,2014,
aze,mf,1983,4.0
aze,mf,1984,4.0
aze,mf,1985,3.9000000953674316
aze,mf,1986,3.9000000953674316
aze,mf,1987,4.0
aze,mf,1988,4.0
aze,mf,1989,3.9000000953674316
aze,mf,1990,15.100000381469727
aze,mf,1991,13.699999809265137
aze,mf,1992,13.899999618530273
aze,mf,1993,14.5
aze,mf,1994,14.300000190734863
aze,mf,1995,15.600000381469727
aze,mf,1996,15.399999618530273
aze,mf,1997,14.699999809265137
aze,mf,1998,
aze,mf,1999,
aze,m,1999,
aze,f,1999,
aze,mf,2000,
aze,m,2000,
aze,f,2000,
aze,mf,2001,
aze,m,2001,
aze,f,2001,
aze,mf,2002,
aze,m,2002,
aze,f,2002,
aze,mf,2003,
aze,m,2003,
aze,f,2003,
aze,mf,2004,
aze,m,2004,
aze,f,2004,
aze,mf,2005,
aze,m,2005,
aze,f,2005,
aze,mf,2006,
aze,m,2006,
aze,f,2006,
aze,mf,2007,
aze,m,2007,
aze,f,2007,
aze,mf,2008,
aze,m,2008,
aze,f,2008,
aze,mf,2009,
aze,m,2009,
aze,f,2009,
aze,mf,2010,
aze,m,2010,
aze,f,2010,
aze,mf,2011,
aze,m,2011,
aze,f,2011,
aze,mf,2012,
aze,m,2012,
aze,f,2012,
aze,mf,2013,
aze,m,2013,
aze,f,2013,
aze,mf,2014,
bhs,mf,1986,0.30000001192092896
bhs,m,1986,0.30000001192092896
bhs,f,1986,0.20000000298023224
bhs,mf,1989,1.7999999523162842
bhs,m,1989,1.2999999523162842
bhs,f,1989,2.299999952316284
bhs,mf,1991,0.20000000298023224
bhs,m,1991,0.10000000149011612
bhs,f,1991,0.4000000059604645
bhs,mf,1992,0.20000000298023224
bhs,m,1992,0.10000000149011612
bhs,f,1992,0.4000000059604645
bhs,mf,1993,0.4000000059604645
bhs,m,1993,0.4000000059604645
bhs,f,1993,0.4000000059604645
bhs,mf,1994,0.6000000238418579
bhs,m,1994,0.6000000238418579
bhs,f,1994,0.6000000238418579
bhs,mf,1995,0.20000000298023224
bhs,m,1995,0.20000000298023224
bhs,f,1995,0.30000001192092896
bhs,mf,1996,0.5
bhs,m,1996,0.699999988079071
bhs,f,1996,0.30000001192092896
bhs,mf,1997,0.30000001192092896
bhs,m,1997,0.4000000059604645
bhs,f,1997,0.30000001192092896
bhs,mf,1998,0.4000000059604645
bhs,m,1998,0.30000001192092896
bhs,f,1998,0.4000000059604645
bhs,mf,1999,0.4000000059604645
bhs,m,1999,0.6000000238418579
bhs,f,1999,0.30000001192092896
bhs,mf,2001,0.4000000059604645
bhs,m,2001,0.6000000238418579
bhs,f,2001,0.30000001192092896
bhs,mf,2002,0.5
bhs,m,2002,0.30000001192092896
bhs,f,2002,0.6000000238418579
bhs,mf,2003,0.30000001192092896
bhs,m,2003,0.4000000059604645
bhs,f,2003,0.10000000149011612
bhs,mf,2004,0.10000000149011612
bhs,m,2004,0.20000000298023224
bhs,f,2004,0.0
bhs,mf,2005,0.30000001192092896
bhs,m,2005,0.4000000059604645
bhs,f,2005,0.20000000298023224
bhs,mf,2006,0.30000001192092896
bhs,m,2006,0.30000001192092896
bhs,f,2006,0.30000001192092896
bhs,mf,2007,0.20000000298023224
bhs,m,2007,0.30000001192092896
bhs,f,2007,0.20000000298023224
bhs,mf,2008,0.4000000059604645
bhs,m,2008,0.6000000238418579
bhs,f,2008,0.30000001192092896
bhs,mf,2009,0.4000000059604645
bhs,m,2009,0.5
bhs,f,2009,0.30000001192092896
bhs,mf,2011,0.4000000059604645
bhs,m,2011,0.5
bhs,f,2011,0.4000000059604645
bhr,mf,1981,1.600000023841858
bhr,m,1981,1.7000000476837158
bhr,f,1981,1.399999976158142
bhr,mf,1982,1.600000023841858
bhr,m,1982,1.600000023841858
bhr,f,1982,1.2999999523162842
bhr,mf,1991,
bhr,m,1991,
bhr,f,1991,
bhr,mf,2001,1.899999976158142
bhr,m,2001,2.200000047683716
bhr,f,2001,0.5
bhr,mf,2004,
bhr,m,2004,
bhr,f,2004,
bhr,mf,2010,1.2999999523162842
bhr,m,2010,1.2999999523162842
bhr,f,2010,1.2000000476837158
bgd,mf,1984,6.0
bgd,m,1984,2.0999999046325684
bgd,f,1984,46.79999923706055
bgd,mf,1985,4.800000190734863
bgd,m,1985,1.100000023841858
bgd,f,1985,43.70000076293945
bgd,mf,1986,4.0
bgd,m,1986,0.20000000298023224
bgd,f,1986,37.0
bgd,mf,1989,4.800000190734863
bgd,m,1989,4.900000095367432
bgd,f,1989,4.599999904632568
bgd,mf,1991,4.5
bgd,m,1991,4.599999904632568
bgd,f,1991,4.300000190734863
bgd,mf,1996,2.0999999046325684
bgd,m,1996,1.100000023841858
bgd,f,1996,3.799999952316284
bgd,mf,2000,4.099999904632568
bgd,m,2000,5.400000095367432
bgd,f,2000,2.0
bgd,mf,2002,
bgd,m,2002,
bgd,f,2002,
bgd,mf,2003,
bgd,m,2003,
bgd,f,2003,
bgd,mf,2005,
bgd,m,2005,
bgd,f,2005,
bgd,mf,2010,
bgd,m,2010,
bgd,f,2010,
brb,mf,1981,
brb,m,1981,
brb,f,1981,
brb,mf,1982,
brb,m,1982,
brb,f,1982,
brb,mf,1983,
brb,m,1983,
brb,f,1983,
brb,mf,1984,
brb,m,1984,
brb,f,1984,
brb,mf,1985,
brb,m,1985,
brb,f,1985,
brb,mf,1986,
brb,m,1986,
brb,f,1986,
brb,mf,1987,
brb,m,1987,
brb,f,1987,
brb,mf,1988,
brb,m,1988,
brb,f,1988,
brb,mf,1989,9.199999809265137
brb,m,1989,7.5
brb,f,1989,11.5
brb,mf,1990,9.899999618530273
brb,m,1990,8.300000190734863
brb,f,1990,11.800000190734863
brb,mf,1991,8.800000190734863
brb,m,1991,7.699999809265137
brb,f,1991,10.199999809265137
brb,mf,1992,9.899999618530273
brb,m,1992,9.199999809265137
brb,f,1992,10.699999809265137
brb,mf,1993,9.699999809265137
brb,m,1993,8.399999618530273
brb,f,1993,11.300000190734863
brb,mf,1994,10.5
brb,m,1994,9.699999809265137
brb,f,1994,11.5
brb,mf,1995,10.800000190734863
brb,m,1995,9.399999618530273
brb,f,1995,12.5
brb,mf,1996,12.399999618530273
brb,m,1996,10.300000190734863
brb,f,1996,14.899999618530273
brb,mf,1997,10.5
brb,m,1997,9.399999618530273
brb,f,1997,11.800000190734863
brb,mf,1998,11.5
brb,m,1998,9.600000381469727
brb,f,1998,13.800000190734863
brb,mf,1999,10.0
brb,m,1999,8.0
brb,f,1999,12.199999809265137
brb,mf,2000,11.300000190734863
brb,m,2000,9.300000190734863
brb,f,2000,13.600000381469727
brb,mf,2001,10.600000381469727
brb,m,2001,8.399999618530273
brb,f,2001,13.199999809265137
brb,mf,2002,11.0
brb,m,2002,9.300000190734863
brb,f,2002,13.0
brb,mf,2003,10.800000190734863
brb,m,2003,9.300000190734863
brb,f,2003,12.399999618530273
brb,mf,2004,9.199999809265137
brb,m,2004,7.300000190734863
brb,f,2004,11.300000190734863
brb,mf,2010,0.10000000149011612
