country,sex,year,services_percentage
bel,mf,1997,69.80000305175781
bel,m,1997,59.599998474121094
bel,f,1997,84.69999694824219
bel,mf,1998,70.5
bel,m,1998,59.900001525878906
bel,f,1998,85.69999694824219
bel,mf,1999,71.80000305175781
bel,m,1999,60.900001525878906
bel,f,1999,86.5999984741211
bel,mf,2000,72.19999694824219
bel,m,2000,61.29999923706055
bel,f,2000,87.19999694824219
bel,mf,2001,73.0999984741211
bel,m,2001,62.79999923706055
bel,f,2001,87.19999694824219
bel,mf,2002,72.4000015258789
bel,m,2002,62.0
bel,f,2002,86.5
bel,mf,2003,73.4000015258789
bel,m,2003,62.70000076293945
bel,f,2003,87.5
bel,mf,2004,72.80000305175781
bel,m,2004,61.5
bel,f,2004,87.5999984741211
bel,mf,2005,73.19999694824219
bel,m,2005,62.400001525878906
bel,f,2005,87.19999694824219
bel,mf,2006,73.30000305175781
bel,m,2006,61.79999923706055
bel,f,2006,88.0
bel,mf,2007,73.69999694824219
bel,m,2007,62.5
bel,f,2007,87.5999984741211
bel,mf,2008,73.80000305175781
bel,m,2008,61.70000076293945
bel,f,2008,88.69999694824219
bel,mf,2009,75.0
bel,m,2009,63.20000076293945
bel,f,2009,89.30000305175781
bel,mf,2010,75.19999694824219
bel,m,2010,63.79999923706055
bel,f,2010,89.0
bel,mf,2011,75.5
bel,m,2011,63.79999923706055
bel,f,2011,89.5
bel,mf,2012,77.0999984741211
bel,m,2012,65.5999984741211
bel,f,2012,90.69999694824219
bel,mf,2013,76.9000015258789
bel,m,2013,65.19999694824219
bel,f,2013,90.5999984741211
bel,mf,2014,77.4000015258789
bel,m,2014,65.5999984741211
bel,f,2014,90.9000015258789
blz,mf,1993,56.599998474121094
blz,m,1993,43.70000076293945
blz,f,1993,82.0
blz,mf,1994,56.79999923706055
blz,m,1994,46.599998474121094
blz,f,1994,84.5999984741211
blz,mf,1995,55.0
blz,m,1995,42.29999923706055
blz,f,1995,84.5999984741211
blz,mf,1996,54.400001525878906
blz,m,1996,41.900001525878906
blz,f,1996,84.69999694824219
blz,mf,1997,51.79999923706055
blz,m,1997,40.20000076293945
blz,f,1997,78.80000305175781
blz,mf,1998,57.0
blz,m,1998,44.5
blz,f,1998,83.80000305175781
blz,mf,1999,55.5
blz,m,1999,43.79999923706055
blz,f,1999,82.80000305175781
blz,mf,2004,60.900001525878906
blz,mf,2005,62.5
blz,m,2005,50.099998474121094
blz,f,2005,86.19999694824219
ben,mf,2003,46.20000076293945
ben,m,2003,34.5
ben,f,2003,57.5
ben,mf,2010,44.0
ben,m,2010,32.099998474121094
ben,f,2010,54.70000076293945
bmu,mf,2000,75.0
bmu,m,2000,64.80000305175781
bmu,f,2000,85.80000305175781
bmu,mf,2001,86.69999694824219
bmu,m,2001,77.5
bmu,f,2001,96.4000015258789
bmu,mf,2002,86.5999984741211
bmu,m,2002,77.30000305175781
bmu,f,2002,96.30000305175781
bmu,mf,2003,86.5999984741211
bmu,m,2003,77.30000305175781
bmu,f,2003,96.5
bmu,mf,2004,86.19999694824219
bmu,m,2004,76.5999984741211
